	Timestamp	Filtered Rate: CBP	Filtered Rate: Cl-BsubPc	Source Power: CBP	Source Power: Cl-BsubPc	Thickness: CBP	Thickness: Cl-BsubPc	State: CBP	State: Cl-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: Cl-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: Cl-BsubPc
130	14:03:58	0.000	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
131	14:03:59	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
132	14:04:00	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
133	14:04:01	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
134	14:04:02	0.000	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
135	14:04:03	-0.001	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
136	14:04:04	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
137	14:04:05	0.000	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
138	14:04:06	0.000	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
139	14:04:07	-0.001	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	750
140	14:04:08	0.000	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	750
141	14:04:09	-0.001	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
142	14:04:10	-0.001	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
143	14:04:11	0.000	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
144	14:04:12	-0.001	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
145	14:04:13	0.000	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
146	14:04:14	0.000	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
147	14:04:15	-0.001	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
148	14:04:16	-0.001	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	746
149	14:04:17	0.000	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
