	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: F-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: F-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: F-BsubPc	State: CBP	State: TxOPhCz	State: F-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: F-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: F-BsubPc
111	11:58:05	-0.001	-0.014	-0.002	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	765
112	11:58:06	0.000	-0.002	-0.002	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	762
113	11:58:07	0.000	-0.006	-0.002	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	759
114	11:58:08	0.000	0.006	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	765
115	11:58:09	-0.001	-0.008	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	755
116	11:58:10	0.001	-0.029	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	764
117	11:58:11	0.000	-0.021	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	762
118	11:58:12	0.000	-0.012	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	752
119	11:58:13	0.001	0.007	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	763
120	11:58:14	-0.001	0.007	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	759
121	11:58:15	0.000	0.006	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	763
122	11:58:16	0.000	0.009	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	762
123	11:58:17	0.001	0.005	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	759
124	11:58:18	0.001	-0.012	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	766
125	11:58:19	0.001	-0.010	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	759
126	11:58:20	0.001	-0.037	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	752
127	11:58:21	0.001	-0.029	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	758
128	11:58:22	-0.001	-0.011	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	753
129	11:58:23	0.001	-0.016	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	756
130	11:58:24	-0.001	0.008	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	758
131	11:58:25	0.000	-0.007	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	753
132	11:58:26	0.001	0.003	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	760
133	11:58:27	0.000	0.003	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	755
134	11:58:28	0.000	0.001	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	752
135	11:58:29	0.000	-0.014	-0.001	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	753
